Date : 2026-01-21 10:07:40
Directory : /Users/zihaowen/Documents/WandCalibration
Total : 78 files,  6773 codes, 1220 comments, 771 blanks, all 8764 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/zihaowen/Documents/WandCalibration/extrinsicParameter/worldCoord/icp.py                                                                    | Python           |         78 |         16 |         28 |        122 |
| /Users/zihaowen/Documents/WandCalibration/extrinsicParameter/worldCoord/noIdReconstruction.py                                                     | Python           |        187 |         33 |         15 |        235 |
| /Users/zihaowen/Documents/WandCalibration/extrinsicParameter/worldCoord/rescale.py                                                                | Python           |        165 |         43 |         14 |        222 |
| /Users/zihaowen/Documents/WandCalibration/extrinsicParameter/worldCoord/solve_icp.py                                                              | Python           |         21 |          2 |          3 |         26 |
| /Users/zihaowen/Documents/WandCalibration/intrinsicParameter/__init__.py                                                                          | Python           |          0 |          0 |          1 |          1 |
| /Users/zihaowen/Documents/WandCalibration/intrinsicParameter/charucoboardCalibration/get_cam_calibration.py                                       | Python           |        115 |         12 |          6 |        133 |
| /Users/zihaowen/Documents/WandCalibration/intrinsicParameter/charucoboardCalibration/test_cam_calibration.py                                      | Python           |         44 |          1 |          8 |         53 |
| /Users/zihaowen/Documents/WandCalibration/intrinsicParameter/checkerboardCalibration/get_cam_calibration.py                                       | Python           |         91 |         11 |          5 |        107 |
| /Users/zihaowen/Documents/WandCalibration/intrinsicParameter/checkerboardCalibration/test_cam_calibration.py                                      | Python           |         49 |         14 |         18 |         81 |
| /Users/zihaowen/Documents/WandCalibration/intrinsicParameter/intrinsicCalibration/get_intrinsic.py                                                | Python           |         73 |          6 |          6 |         85 |
| /Users/zihaowen/Documents/WandCalibration/main.py                                                                                                 | Python           |        251 |          1 |          8 |        260 |
| /Users/zihaowen/Documents/WandCalibration/output.log                                                                                              | Log              |        758 |          0 |        113 |        871 |
| /Users/zihaowen/Documents/WandCalibration/pyinstaller.md                                                                                          | Markdown         |          6 |          0 |          1 |          7 |
| /Users/zihaowen/Documents/WandCalibration/requirements.txt                                                                                        | pip requirements |         14 |          0 |          1 |         15 |
| /Users/zihaowen/Documents/WandCalibration/utils/__init__.py                                                                                       | Python           |          0 |          0 |          1 |          1 |
| /Users/zihaowen/Documents/WandCalibration/utils/camFormatTransfer.py                                                                              | Python           |         60 |          1 |          7 |         68 |
| /Users/zihaowen/Documents/WandCalibration/utils/imageConcat.py                                                                                    | Python           |         28 |         11 |          2 |         41 |
| /Users/zihaowen/Documents/WandCalibration/utils/verifyAccuracy.py                                                                                 | Python           |         69 |          0 |          7 |         76 |
| /Users/zihaowen/Documents/WandCalibration/utils/yamlLoader.py                                                                                     | Python           |         26 |         45 |          9 |         80 |
| /Users/zihaowen/Documents/WandCalibration/visualize/get_init_camera_params.py                                                                     | Python           |         17 |          0 |          3 |         20 |
| /Users/zihaowen/Documents/WandCalibration/visualize/visCameraParams.py                                                                            | Python           |        122 |         16 |          4 |        142 |
| /Users/zihaowen/Documents/WandCalibration/visualize/vis_intrinsic.py                                                                              | Python           |         57 |          0 |          4 |         61 |
| /Users/zihaowen/Documents/WandCalibration/visualize/vis_pole_detection.py                                                                         | Python           |        114 |          4 |          7 |        125 |
| /Users/zihaowen/Documents/WandCalibration/visualize/vis_pole_spread.py                                                                            | Python           |        105 |          0 |          8 |        113 |
| /Users/zihaowen/Documents/WandCalibration/visualize/vis_reproj_error.py                                                                           | Python           |        102 |          1 |         11 |        114 |
| Total                                                                                                                                             |                  |      6,773 |      1,220 |        771 |      8,764 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
